bearing_id,a1_x_mean,a1_y_mean,a1_z_mean,a2_x_mean,a2_y_mean,a2_z_mean,rpm_mean,hz_mean,w_mean,status,a1_x_range,a1_y_range,a1_z_range,a2_x_range,a2_y_range,a2_z_range,w_range,a1_x_min,a1_y_min,a1_z_min,a2_x_min,a2_y_min,a2_z_min,a1_x_max,a1_y_max,a1_z_max,a2_x_max,a2_y_max,a2_z_max,w_max,a1_x_fft_mean,a1_y_fft_mean,a1_z_fft_mean,a2_x_fft_mean,a2_y_fft_mean,a2_z_fft_mean,a1_x_ff_range,a1_y_fft_range,a1_z_fft_range,a2_x_fft_range,a2_y_fft_range,a2_z_fft_range,a1_x_fft_min,a1_y_fft_min,a1_z_fft_min,a2_x_fft_min,a2_y_fft_min,a2_z_fft_min,a1_x_fft_max,a1_y_fft_max,a1_z_fft_max,a2_x_fft_max,a2_y_fft_max,a2_z_fft_max
1,-0.17697102565510453,-0.0017400418119868461,-0.03536125876973992,0.11459044266399727,0.02332918034047778,0.25071028713776916,1082.4236559297126,18.04039426549694,0.4199610761112466,0,16.738155270956224,9.936622069026212,17.86193493305128,18.692051854867927,17.876810256630886,22.021738373447906,1.6792645284009795,-9.410164620793076,-4.298115054928772,-8.657114997835974,-10.004077081424,-8.647843174228079,-10.20780965115377,7.327990650163149,5.63850701409744,9.204819935215305,8.687974773443925,9.228967082402807,11.813928722294136,1.679265935902089,3.8851805561974113,4.124011428744788,4.09016899673656,2.6113957383393966,4.09016899673656,4.124011428744788,21.134584302248154,17.018760758777784,18.94906958559561,20.01052399152146,18.94906958559561,17.018760758777784,8.220074838982683e-05,0.0176702246526942,0.023684663806147425,1.572600225863141e-05,0.023684663806147425,0.0176702246526942,21.134666502996545,17.036430983430478,18.972754249401756,20.010539717523717,18.972754249401756,17.036430983430478
2,-0.17403220658232316,-0.0076363344413171875,-0.053353433192181714,-0.17898554599549407,0.024936452835014913,0.19406115787103193,1074.9816344142664,17.91636057357998,0.5011598267450567,0,15.006621967064293,9.558084085444651,16.421456309417557,17.748008831894857,16.723467659428824,20.02882087358865,1.9074492489210721,-7.582435022240131,-4.676653038510694,-8.080923548382485,-9.43765126764016,-7.975059992526684,-11.104622526090653,7.424186944824162,4.881431046933956,8.340532761035075,8.310357564254696,8.748407666902141,8.924198347497997,1.9074506564221816,3.4591092469030946,3.662379776198185,3.581353073388962,2.521898051169841,3.581353073388962,3.662379776198185,22.177198861060617,17.69404234772759,15.230303478131013,21.194446111529075,15.230303478131013,17.69404234772759,2.0198328000597954e-05,0.013191320086320872,0.022469646385376355,1.972934656652159e-05,0.022469646385376355,0.013191320086320872,22.17721905938862,17.70723366781391,15.25277312451639,21.19446584087564,15.25277312451639,17.70723366781391
3,-0.17232796771426562,-0.0023434499163942643,-0.039898192541747174,-0.12184192337677302,0.03614915289089439,0.18388085961501338,1149.9270382317375,19.165450637201563,0.5130507627627351,0,15.58379973502852,9.558084085444282,16.42145630941757,21.71298952838213,18.645705321432633,19.132007998651375,2.132676545329301,-8.35200537952564,-4.108846063137621,-8.369019273109235,-12.080971731965132,-8.45561940802773,-11.204268401083594,7.231794355502881,5.449238022306661,8.052437036308335,9.632017796417,10.190085913404904,7.927739597567782,2.1326779528304103,3.7637967377485353,3.986035241966702,3.917454362617007,2.5563732771840217,3.917454362617007,3.986035241966702,22.810160617645852,18.86168466173886,16.013171256871146,22.860753871444267,16.013171256871146,18.86168466173886,2.6582017873533204e-05,0.020196052907279178,0.011785629004392425,2.277368759165399e-05,0.011785629004392425,0.020196052907279178,22.810187199663726,18.88188071464614,16.02495688587554,22.860776645131857,16.02495688587554,18.88188071464614
4,-0.14964423595442022,-0.0005487924533788683,-0.03767859838548305,-0.11957367562719808,0.030837981789414933,0.20069899104156996,1127.5386301147887,18.792310501917086,0.539426203351336,0,12.50551830588722,9.558084085444651,15.173041502268966,17.653604529597544,15.666236945327109,18.932716248665493,1.8777100133924503,-6.524275780973063,-4.676653038510694,-7.024572557718263,-10.004077081424,-7.782836226326336,-11.104622526090653,5.9812425249141565,4.881431046933956,8.148468944550704,7.649527448173544,7.883400719000773,7.828093722574841,1.8777114208935597,3.636525187195797,3.83495094615435,3.68978348163518,2.2932932570408027,3.68978348163518,3.83495094615435,20.5577908502761,15.757678127479966,16.854614122759656,19.0538423620582,16.854614122759656,15.757678127479966,4.7383644862897256e-05,0.020125884744134556,0.002662263107612201,9.472335416399469e-06,0.002662263107612201,0.020125884744134556,20.55783823392096,15.7778040122241,16.85727638586727,19.05385183439362,16.85727638586727,15.7778040122241
5,-0.14643785167646653,0.015268297388226413,-0.026678156976096087,-0.08079884012012713,0.03404180250043014,0.20654733453771018,1037.2164522791395,17.28694087132568,0.35371492331402304,0,14.71803308308198,10.882967027981579,17.189711575355417,20.580137900814442,18.54959343833189,17.039444623799177,1.5781194748064675,-7.967220200882693,-4.676653038510694,-8.849178814320343,-11.325737313586671,-8.840066940428041,-7.81630865132274,6.7508128821992885,6.206313989470884,8.340532761035075,9.25440058722777,9.70952649790385,9.223135972476438,1.578120882307577,3.409107317047962,3.7029284681333294,3.450110535517825,2.6711108047125807,3.450110535517825,3.7029284681333294,25.201880035818114,18.31316268670353,16.46963627698922,22.29041964064495,16.46963627698922,18.31316268670353,5.7300294074247304e-05,0.020963594666221424,0.013869279565082276,0.00011413494487369502,0.013869279565082276,0.020963594666221424,25.201937336112188,18.334126281369752,16.483505556554302,22.29053377558982,16.483505556554302,18.334126281369752
6,-0.14334011065432492,0.010807518626598366,-0.03588960924687984,0.38051390158726234,0.04962245730276273,0.26682304050006417,1121.7300151961063,18.69550025327737,0.47367929713241624,0,16.641958976295957,16.08786430223353,19.01431783195749,25.39475731797748,28.833564930050123,20.22811262357454,1.723046991851262,-9.217772031471794,-6.001535981047627,-9.137274539046707,-10.948120104397448,-9.801185771430143,-10.606393151125936,7.424186944824162,10.086328321185904,9.877043292910784,14.44663721358003,19.03237915861998,9.621719472448603,1.7230483993523715,4.219682633002024,4.497672882414797,4.892761261056565,3.8215875138511795,4.892761261056565,4.497672882414797,33.55703364625412,23.34535245015425,25.44994108691364,31.716079672714905,25.44994108691364,23.34535245015425,4.151755147971392e-05,0.01802313243951626,0.027533028119773973,3.7421200296261503e-06,0.027533028119773973,0.01802313243951626,33.5570751638056,23.36337558259377,25.477474115033413,31.716083414834934,25.477474115033413,23.36337558259377
7,-0.13616975919935495,0.01055681290919247,-0.05732716044146173,0.4002717254728041,0.06223149883529339,0.24951077484424175,1088.327691199192,18.138794853320157,0.44168073339836567,0,15.679996029689164,17.602016236560868,18.34209447426202,21.429776621490213,30.467466942752864,21.623154873476132,1.9074492489210721,-8.159612790204358,-6.663977452315718,-8.176955456624862,-9.720864174532457,-11.723423433433204,-10.20780965115377,7.520383239484806,10.93803878424515,10.165139017637156,11.708912446957754,18.74404350931966,11.415345222322362,1.9074506564221816,4.105017295783138,4.0677974148109985,4.215177467686496,2.9519573004672526,4.215177467686496,4.0677974148109985,37.66963263895164,25.274832214626272,26.79738598260538,25.594424318182693,26.79738598260538,25.274832214626272,0.00011522097087185434,0.016917531001338342,0.014246086605519773,2.1993346067006314e-05,0.014246086605519773,0.016917531001338342,37.66974785992251,25.291749745627612,26.8116320692109,25.59444631152876,26.8116320692109,25.291749745627612
8,-0.12211656474126789,0.0193911756650429,-0.04915020502072689,0.3539316146546317,0.032913540475998114,0.2009790580956127,1687.0545331693938,28.117575552828598,0.4956299110799134,0,14.044659020457871,9.65271858134004,17.093679667113417,18.59764755257062,19.89515980173468,15.744048248890522,1.8875971298321774,-7.19764984359756,-4.676653038510694,-8.272987364867232,-9.248842663045544,-9.705073888329776,-7.11878752637174,6.847009176860311,4.976065542829346,8.820692302246185,9.348804889525075,10.190085913404904,8.625260722518782,1.8875985373332869,4.0113701695382735,4.214935711796252,3.8401963740209513,2.4732149992171717,3.8401963740209513,4.214935711796252,23.25856917928625,17.026807338257196,17.577964873739496,19.867741238489494,17.577964873739496,17.026807338257196,9.148041391526807e-05,0.01504207005091652,0.009947397680576914,2.3203602340482465e-05,0.009947397680576914,0.01504207005091652,23.258660659700165,17.041849408308114,17.587912271420073,19.867764442091833,17.587912271420073,17.041849408308114
9,-0.15470059514314852,0.018773691663955955,-0.038803104778078634,0.33010340309205743,0.005179352796990024,0.2893063254263419,1032.2294409370254,17.20382401562432,0.3539253010756685,0,15.295210851046596,12.586387954100068,17.189711575355794,19.352881970949078,21.336838048236697,20.925633748525527,1.9174142515702401,-8.448201674186285,-6.5693429564203285,-8.945210722562713,-9.248842663045544,-11.531199667232856,-9.211350901224336,6.847009176860311,6.01704499767974,8.244500852793083,10.104039307903536,9.80563838100384,11.714282847301194,1.9174156590713496,3.570525196549913,4.184980648216648,3.9433561926638734,2.6729845633442264,3.9433561926638734,4.184980648216648,22.77249552419284,19.47347855192501,19.172728425566255,22.72850002287371,19.172728425566255,19.47347855192501,5.8738326548901654e-05,0.012649094862521125,0.019907023387758512,4.234121315938033e-05,0.019907023387758512,0.012649094862521125,22.77255426251939,19.48612764678753,19.192635448954015,22.72854236408687,19.192635448954015,19.48612764678753
10,-0.16565722535146296,0.0107603565416856,-0.05791552960794031,0.33901508541556996,0.016379186827264566,0.2474498997984986,1036.6910245028107,17.27818374171986,0.3786917435521381,0,18.37349228018751,19.683975146261638,17.189711575355798,23.97869278351788,34.11971850055903,27.900844998033904,1.9274052162892201,-10.372127567399495,-7.42105341947957,-7.984891640140493,-9.720864174532457,-14.222332394037682,-14.293290525866006,8.001364712788014,12.26292172678207,9.204819935215305,14.25782860898542,19.897386106521346,13.6075544721679,1.9274066237903296,4.479032204529827,4.631094803922963,4.807633735944255,3.4561479089521554,4.807633735944255,4.631094803922963,39.34286146947074,25.64304556115621,31.716426219935865,32.31432520294833,31.716426219935865,25.64304556115621,4.3087894182336495e-06,0.00900408451488038,0.01591786207025244,1.1578237807619018e-05,0.01591786207025244,0.00900408451488038,39.34286577826016,25.65204964567109,31.73234408200612,32.31433678118614,31.73234408200612,25.65204964567109
